Athlete,Dive Number,Dive Description,DD (Degree of Difficulty),Judge 1,Judge 2,Judge 3,Judge 4,Judge 5,Judge 6,Judge 7,Dive Points,Total Points
Michelle HEIMBERG,1,"405B - Inward 2.5 Somersaults, Pike",3.0,4.5,4.0,4.5,4.5,4.5,4.5,4.5,40.50,40.50
Michelle HEIMBERG,2,"107B - Forward 3.5 Somersaults, Pike",3.1,7.0,7.0,6.5,6.0,6.5,6.5,6.5,60.45,100.95
Michelle HEIMBERG,3,"205B - Back 2.5 Somersaults, Pike",3.0,7.0,7.5,7.0,7.5,8.0,7.5,8.0,67.50,168.45
Michelle HEIMBERG,4,"305B - Reverse 2.5 Somersaults, Pike",3.0,8.0,7.5,7.0,7.0,7.5,7.0,8.0,66.00,234.45
Michelle HEIMBERG,5,"5152B - Forward 5.5 Somersaults with 1.0 Twist(s), Pike",3.0,7.0,6.5,7.0,6.5,7.5,6.0,7.0,61.50,295.95
Grace REID,1,"405B - Inward 2.5 Somersaults, Pike",3.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5,55.50,55.50
Grace REID,2,"107B - Forward 3.5 Somersaults, Pike",3.1,6.5,6.5,6.0,5.5,5.5,6.5,5.5,55.80,111.30
Grace REID,3,"305B - Reverse 2.5 Somersaults, Pike",3.0,6.0,6.5,5.5,7.5,7.0,6.0,6.5,57.00,168.30
Grace REID,4,"205B - Back 2.5 Somersaults, Pike",3.0,6.0,6.0,6.0,6.5,6.5,6.5,6.5,57.00,225.30
Grace REID,5,"5152B - Forward 5.5 Somersaults with 1.0 Twist(s), Pike",3.0,8.0,7.0,7.5,8.0,8.0,7.5,8.0,70.50,295.80
